d_MEDIDAS_PROTECCION_DESCRIPCION.keyword: Descending;d_ANIO_PS.keyword: Descending;Count
B, C, J, O, D, G;2023;1
F, B, C, M, E, D;2021;3
F, B, C, M, E, D;2022;2
F, B, C, M, E, D;2020;1
F, B, C, M, J, A, D;2021;3
F, B, C, M, J, A, D;2023;2
F, B, C, M, J, A, D;2020;1
N, D;2020;2
N, D;2021;2
N, D;2022;1
O, D;2022;3
O, D;2020;1
O, D;2021;1
B, A;2020;4
B, A;2022;1
B, C, M, N, O, D;2020;2
B, C, M, N, O, D;2022;2
B, C, M, N, O, D;2021;1
B, C, M, N, J, O, A, D;2021;4
B, C, M, N, J, O, A, D;2022;1
B, C, M, D, G;2021;2
B, C, M, D, G;2022;2
B, C, M, D, G;2020;1
B, C, M, J, D, G;2021;2
B, C, M, J, D, G;2022;2
B, C, M, J, D, G;2020;1
B, C, N, A, D, G;2021;2
B, C, N, A, D, G;2022;2
B, C, N, A, D, G;2023;1
B, C, N, J, A, D, G;2021;3
B, C, N, J, A, D, G;2020;1
B, C, N, J, A, D, G;2022;1
B, C, E, N, D;2021;3
B, C, E, N, D;2020;2
C, M, N, D;2023;3
C, M, N, D;2020;1
C, M, N, D;2021;1
C, E, O, D;2022;3
C, E, O, D;2020;1
C, E, O, D;2021;1
E, J, D;2020;2
E, J, D;2021;2
E, J, D;2022;1
F, B, C, E, J, A, D, G;2021;4
F, B, C, E, J, A, D, G;2020;1
F, C, M, E, D;2021;3
F, C, M, E, D;2020;1
F, C, M, E, D;2023;1
F, D;2020;4
F, D;2021;1
N;2020;2
N;2021;1
N;2023;1
B, N, D;2020;2
B, N, D;2021;1
B, N, D;2022;1
B, C, M, O, A, D;2020;2
B, C, M, O, A, D;2021;1
B, C, M, O, A, D;2022;1
B, C, N, E, D;2021;2
B, C, N, E, D;2020;1
B, C, N, E, D;2023;1
B, C, D, L;2023;2
B, C, D, L;2021;1
B, C, D, L;2022;1
B, C, E, J, O, D;2022;2
B, C, E, J, O, D;2020;1
B, C, E, J, O, D;2023;1
B, J;2020;2
B, J;2021;1
B, J;2022;1
C, M, N, O, D;2020;1
C, M, N, O, D;2021;1
C, M, N, O, D;2022;1
C, M, N, O, D;2023;1
C, M, E, J, A, D;2020;2
C, M, E, J, A, D;2021;2
D, G;2022;2
D, G;2020;1
D, G;2021;1
E;2020;3
E;2021;1
F, E, D;2021;2
F, E, D;2022;2
H, C, D;2020;2
H, C, D;2021;1
H, C, D;2022;1
N, J, D;2020;1
N, J, D;2021;1
N, J, D;2023;1
B, C, M, N, J, A, D;2020;1
B, C, M, N, J, A, D;2021;1
B, C, M, N, J, A, D;2023;1
B, C, M, N, J, O, A, D, G;2021;1
B, C, M, N, J, O, A, D, G;2022;1
B, C, M, N, J, O, A, D, G;2023;1
B, C, M, N, J, O, D;2020;1
B, C, M, N, J, O, D;2021;1
B, C, M, N, J, O, D;2023;1
B, C, M, E, A, D, G;2020;2
B, C, M, E, A, D, G;2021;1
B, C, M, E, O, D;2022;2
B, C, M, E, O, D;2020;1
B, C, N, D, G;2021;2
B, C, N, D, G;2023;1
B, C, N, E, J, O, D;2023;3
B, C, E, A, D, L;2020;1
B, C, E, A, D, L;2022;1
B, C, E, A, D, L;2023;1
B, C, E, N, A, D;2020;1
B, C, E, N, A, D;2021;1
B, C, E, N, A, D;2022;1
B, C, E, N, J, O, D;2023;3
B, C, J, A, D, L;2020;3
B, J, A, D;2020;2
B, J, A, D;2023;1
C, K, D;2021;3
C, N, O, D, G;2021;1
C, N, O, D, G;2022;1
C, N, O, D, G;2023;1
C, O, A, D;2020;2
C, O, A, D;2021;1
C, E, J, D, G;2022;2
C, E, J, D, G;2021;1
F, B, C, M, D;2020;2
F, B, C, M, D;2022;1
F, B, J, D;2022;2
F, B, J, D;2021;1
F, C, M, J, D;2020;1
F, C, M, J, D;2022;1
F, C, M, J, D;2023;1
F;2021;2
F;2022;1
G;2020;1
G;2022;1
G;2023;1
H, B, C, M, N, J, O, A, D, G;2021;3
H, B, C, J, A, D;2021;2
H, B, C, J, A, D;2022;1
J, D, G;2020;2
J, D, G;2022;1
A;2020;1
A;2022;1
N, O;2020;1
N, O;2021;1
O;2021;2
B, A, D, G;2020;1
B, A, D, G;2021;1
B, N, O, D;2021;1
B, N, O, D;2022;1
B, C, A, D, L;2021;1
B, C, A, D, L;2023;1
B, C, M, N, J, A, D, G;2020;1
B, C, M, N, J, A, D, G;2023;1
B, C, M, E, D, G;2020;1
B, C, M, E, D, G;2022;1
B, C, N, J, D, G;2020;1
B, C, N, J, D, G;2022;1
B, C, E, N, O, D;2021;2
B, C, E, J, O, A, D;2021;2
B, C, G;2020;1
B, C, G;2022;1
B, C, J, O, A, D, G;2021;2
B, E, A, D;2020;2
C, M, N, J, O, D;2020;1
C, M, N, J, O, D;2021;1
C, N, O, A, D;2021;2
C, N, E, D;2020;1
C, N, E, D;2021;1
C, D, L;2020;1
C, D, L;2023;1
C, E, A, D, G;2023;2
C, E, D, L;2020;1
C, E, D, L;2021;1
C, J, A;2020;1
C, J, A;2021;1
F, B, C, A, D, G;2020;1
F, B, C, A, D, G;2023;1
F, B, C, M, E, J, A, D, G;2020;2
F, B, C, M, J, D;2022;2
F, B, C, E, O, A, D;2020;1
F, B, C, E, O, A, D;2021;1
F, B, C, J, D, G;2022;2
F, C, M, D;2020;2
F, C, E, A, D;2020;1
F, C, E, A, D;2022;1
F, C, E, J, A, D;2020;1
F, C, E, J, A, D;2022;1
H, B, C, E, A, D;2020;2
H, B, C, E, D;2020;2
H, F, B, C, E, J, A, D;2020;1
H, F, B, C, E, J, A, D;2021;1
J, A, D;2021;1
J, A, D;2022;1
L;2021;1
M, N, D;2022;1
M, D;2020;1
M, E, A, D;2020;1
M, E, A;2020;1
M, E, D;2020;1
M, E, J, A, G;2020;1
N, O, D;2021;1
N, J, O, D, G;2021;1
B, M, E, J, D;2020;1
B, O, D;2022;1
B, O;2021;1
B, C, K, A, D, L;2021;1
B, C, K, A, D;2022;1
B, C, K, D;2023;1
B, C, M, N, A, D, G;2021;1
B, C, M, N, O, A, D, G;2020;1
B, C, M, N, E, J, A, D;2021;1
B, C, M, N, E, J, O, D;2023;1
B, C, M, N, J, O, D, G;2020;1
B, C, M, O, D, G;2022;1
